source_row	mode	old_path	canonical_path	old_display_name	canonical_display_name	design_style	publication_status	reason	review_status
5	PERMANENT_ALIAS	aganite_cornice_guilloche_aged	aganite_aged_cornice_byzantine	Aganite Aged Guilloche Cornice	Aganite Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
6	PERMANENT_ALIAS	aganite_surround_guilloche_aged	aganite_aged_surround_byzantine	Aganite Aged Guilloche Surround	Aganite Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
7	PERMANENT_ALIAS	aterzon_cornice_guilloche_aged	aterzon_aged_cornice_byzantine	Aterzon Aged Guilloche Cornice	Aterzon Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
8	PERMANENT_ALIAS	aterzon_surround_guilloche_aged	aterzon_aged_surround_byzantine	Aterzon Aged Guilloche Surround	Aterzon Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
9	PERMANENT_ALIAS	borealis_cornice_guilloche_aged	borealis_aged_cornice_byzantine	Borealis Aged Guilloche Cornice	Borealis Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
10	PERMANENT_ALIAS	borealis_surround_guilloche_aged	borealis_aged_surround_byzantine	Borealis Aged Guilloche Surround	Borealis Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
11	PERMANENT_ALIAS	brectite_cornice_guilloche_aged	brectite_aged_cornice_byzantine	Brectite Aged Guilloche Cornice	Brectite Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
12	PERMANENT_ALIAS	brectite_surround_guilloche_aged	brectite_aged_surround_byzantine	Brectite Aged Guilloche Surround	Brectite Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
13	PERMANENT_ALIAS	calacattum_cornice_guilloche_aged	calacattum_aged_cornice_byzantine	Calacattum Aged Guilloche Cornice	Calacattum Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
14	PERMANENT_ALIAS	calacattum_surround_guilloche_aged	calacattum_aged_surround_byzantine	Calacattum Aged Guilloche Surround	Calacattum Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
15	PERMANENT_ALIAS	chalstrom_cornice_guilloche_aged	chalstrom_aged_cornice_byzantine	Chalstrom Aged Guilloche Cornice	Chalstrom Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
16	PERMANENT_ALIAS	chalstrom_surround_guilloche_aged	chalstrom_aged_surround_byzantine	Chalstrom Aged Guilloche Surround	Chalstrom Aged Byzantine Surround	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
17	PERMANENT_ALIAS	chrysonyx_cornice_guilloche_aged	chrysonyx_aged_cornice_byzantine	Chrysonyx Aged Guilloche Cornice	Chrysonyx Aged Byzantine Cornice	Byzantine	Published ≤1.5.2	Aged order; Byzantine style	Approved
